sheet_id,question_en,question_fr,file_name
DX1_1,DX1_1 How important are the following aspects when making a decision on what products (goods or services) to buy? The impact on the environment of the product | Base: All,,Lien_vers_le_label_écologique_de_l’UE_fl_535_volume_B.xlsx
DX1_3,DX1_3 How important are the following aspects when making a decision on what products (goods or services) to buy? The quality of the product | Base: All,,Lien_vers_le_label_écologique_de_l’UE_fl_535_volume_B.xlsx
DX2_1,DX2_1 To what extent do you agree or disagree with the following statements? Buying products with a lower environmental impact makes a difference for the environment | Base: All,,Lien_vers_le_label_écologique_de_l’UE_fl_535_volume_B.xlsx
Q2_1,Q2_1 The logo shown is that of the EU Ecolabel. Which of the following statements about the EU Ecolabel do you think are true or false? The EU Ecolabel is awarded to products with a lower environmental impact than similar products on the market | Base: All,,Lien_vers_le_label_écologique_de_l’UE_fl_535_volume_B.xlsx
Q2_2,Q2_2 The logo shown is that of the EU Ecolabel. Which of the following statements about the EU Ecolabel do you think are true or false? The EU Ecolabel is an independently verified  label that companies can decide to display on their products to show they are environmentally friendly | Base: All,,Lien_vers_le_label_écologique_de_l’UE_fl_535_volume_B.xlsx
Q2_3,Q2_3 The logo shown is that of the EU Ecolabel. Which of the following statements about the EU Ecolabel do you think are true or false? The EU Ecolabel is awarded to organic food and beverage products | Base: All,,Lien_vers_le_label_écologique_de_l’UE_fl_535_volume_B.xlsx
Q2_4,Q2_4 The logo shown is that of the EU Ecolabel. Which of the following statements about the EU Ecolabel do you think are true or false? The EU Ecolabel is the European Union label for environmental excellence | Base: All,,Lien_vers_le_label_écologique_de_l’UE_fl_535_volume_B.xlsx
Q2_5,"Q2_5 The logo shown is that of the EU Ecolabel. Which of the following statements about the EU Ecolabel do you think are true or false? To get the EU Ecolabel, products have to comply to strict environmental criteria | Base: All",,Lien_vers_le_label_écologique_de_l’UE_fl_535_volume_B.xlsx
Q4b,"Q4b Of the following products bought in the past 12 months, did you buy any with the EU Ecolabel? Select all that apply. [MULTIPLE ANSWERS] | Base: IF Q4a<11",,Lien_vers_le_label_écologique_de_l’UE_fl_535_volume_B.xlsx
Q3,Q3 What impact have the undertaken resource efficiency actions had on the production costs over the past two years? The production costs have… | Base: IF CODE 1 TO 9 IN Q1,,Lien_vers_les_PME_et_les_marchés_verts_2021_eb_fl_498_volume_B.xlsx
Q5,Q5 Which type of support does your company rely on in its efforts to be more resource efficient? | Base: IF CODE 1 TO 9 IN Q1,,Lien_vers_les_PME_et_les_marchés_verts_2021_eb_fl_498_volume_B.xlsx
Q6,"Q6 More precisely, which type of external support is it? | Base: IF Q5=3",,Lien_vers_les_PME_et_les_marchés_verts_2021_eb_fl_498_volume_B.xlsx
Q7,Q7 Did your company encounter any of the following difficulties when trying to set up resource efficiency actions? | Base: IF CODE 1 TO 9 IN Q1,,Lien_vers_les_PME_et_les_marchés_verts_2021_eb_fl_498_volume_B.xlsx
