sheet_id,question_en,question_fr,file_name
DX1_1,DX1_1 How important are the following aspects when making a decision on what products (goods or services) to buy? The impact on the environment of the product | Base: All,,Lien_vers_le_label_écologique_de_l’UE_fl_535_volume_B.xlsx
DX1_2,DX1_2 How important are the following aspects when making a decision on what products (goods or services) to buy? The price of the product | Base: All,,Lien_vers_le_label_écologique_de_l’UE_fl_535_volume_B.xlsx
DX1_3,DX1_3 How important are the following aspects when making a decision on what products (goods or services) to buy? The quality of the product | Base: All,,Lien_vers_le_label_écologique_de_l’UE_fl_535_volume_B.xlsx
DX1_4,DX1_4 How important are the following aspects when making a decision on what products (goods or services) to buy? The brand of the product | Base: All,,Lien_vers_le_label_écologique_de_l’UE_fl_535_volume_B.xlsx
DX2_1,DX2_1 To what extent do you agree or disagree with the following statements? Buying products with a lower environmental impact makes a difference for the environment | Base: All,,Lien_vers_le_label_écologique_de_l’UE_fl_535_volume_B.xlsx
DX2_2,DX2_2 To what extent do you agree or disagree with the following statements? I have bought products specifically because of their lower environmental impact | Base: All,,Lien_vers_le_label_écologique_de_l’UE_fl_535_volume_B.xlsx
Q1,Q1 Please take a close look at the logo shown below. Have you seen this logo before? | Base: All,,Lien_vers_le_label_écologique_de_l’UE_fl_535_volume_B.xlsx
Q2_1,Q2_1 The logo shown is that of the EU Ecolabel. Which of the following statements about the EU Ecolabel do you think are true or false? The EU Ecolabel is awarded to products with a lower environmental impact than similar products on the market | Base: All,,Lien_vers_le_label_écologique_de_l’UE_fl_535_volume_B.xlsx
Q2_2,Q2_2 The logo shown is that of the EU Ecolabel. Which of the following statements about the EU Ecolabel do you think are true or false? The EU Ecolabel is an independently verified  label that companies can decide to display on their products to show they are environmentally friendly | Base: All,,Lien_vers_le_label_écologique_de_l’UE_fl_535_volume_B.xlsx
Q2_3,Q2_3 The logo shown is that of the EU Ecolabel. Which of the following statements about the EU Ecolabel do you think are true or false? The EU Ecolabel is awarded to organic food and beverage products | Base: All,,Lien_vers_le_label_écologique_de_l’UE_fl_535_volume_B.xlsx
Q2_4,Q2_4 The logo shown is that of the EU Ecolabel. Which of the following statements about the EU Ecolabel do you think are true or false? The EU Ecolabel is the European Union label for environmental excellence | Base: All,,Lien_vers_le_label_écologique_de_l’UE_fl_535_volume_B.xlsx
Q2_5,"Q2_5 The logo shown is that of the EU Ecolabel. Which of the following statements about the EU Ecolabel do you think are true or false? To get the EU Ecolabel, products have to comply to strict environmental criteria | Base: All",,Lien_vers_le_label_écologique_de_l’UE_fl_535_volume_B.xlsx
Q3_1,Q3_1 How often do you… Buy products with environmental labels | Base: All,,Lien_vers_le_label_écologique_de_l’UE_fl_535_volume_B.xlsx
