sheet_id,question_en,question_fr,file_name,question_clean
DX1_1,DX1_1 How important are the following aspects when making a decision on what products (goods or services) to buy? The impact on the environment of the product | Base: All,,Lien_vers_le_label_écologique_de_l’UE_fl_535_volume_B.xlsx,How important is the environmental impact of a product when deciding what to buy? (All respondents)
DX1_2,DX1_2 How important are the following aspects when making a decision on what products (goods or services) to buy? The price of the product | Base: All,,Lien_vers_le_label_écologique_de_l’UE_fl_535_volume_B.xlsx,How important is the price of a product when deciding what goods or services to purchase? (Base: All)
DX1_3,DX1_3 How important are the following aspects when making a decision on what products (goods or services) to buy? The quality of the product | Base: All,,Lien_vers_le_label_écologique_de_l’UE_fl_535_volume_B.xlsx,How important is the quality of a product when deciding what goods or services to purchase? (All respondents)
DX1_4,DX1_4 How important are the following aspects when making a decision on what products (goods or services) to buy? The brand of the product | Base: All,,Lien_vers_le_label_écologique_de_l’UE_fl_535_volume_B.xlsx,How important is the brand of a product when deciding what to buy (goods or services)? (All respondents)
DX2_1,DX2_1 To what extent do you agree or disagree with the following statements? Buying products with a lower environmental impact makes a difference for the environment | Base: All,,Lien_vers_le_label_écologique_de_l’UE_fl_535_volume_B.xlsx,Does buying products with a lower environmental impact make a difference for the environment? (All)
DX2_2,DX2_2 To what extent do you agree or disagree with the following statements? I have bought products specifically because of their lower environmental impact | Base: All,,Lien_vers_le_label_écologique_de_l’UE_fl_535_volume_B.xlsx,Have you purchased products specifically because of their lower environmental impact? (All)
Q1,Q1 Please take a close look at the logo shown below. Have you seen this logo before? | Base: All,,Lien_vers_le_label_écologique_de_l’UE_fl_535_volume_B.xlsx,Have you recognized the logo displayed below? (All respondents)
Q2_1,Q2_1 The logo shown is that of the EU Ecolabel. Which of the following statements about the EU Ecolabel do you think are true or false? The EU Ecolabel is awarded to products with a lower environmental impact than similar products on the market | Base: All,,Lien_vers_le_label_écologique_de_l’UE_fl_535_volume_B.xlsx,"Is the statement ""The EU Ecolabel is awarded to products with a lower environmental impact than similar products on the market"" true or false? (Regarding the EU Ecolabel logo)"
Q2_2,Q2_2 The logo shown is that of the EU Ecolabel. Which of the following statements about the EU Ecolabel do you think are true or false? The EU Ecolabel is an independently verified  label that companies can decide to display on their products to show they are environmentally friendly | Base: All,,Lien_vers_le_label_écologique_de_l’UE_fl_535_volume_B.xlsx,"Is the statement ""The EU Ecolabel is an independently verified label that companies can choose to display on their products to show they are environmentally friendly"" true or false? (About the EU Ecolabel)"
Q2_3,Q2_3 The logo shown is that of the EU Ecolabel. Which of the following statements about the EU Ecolabel do you think are true or false? The EU Ecolabel is awarded to organic food and beverage products | Base: All,,Lien_vers_le_label_écologique_de_l’UE_fl_535_volume_B.xlsx,Is the EU Ecolabel awarded to organic food and beverages true or false? (Regarding the logo shown)
